cliente_id,total_sinalizacoes,alertas_fracionamento,alertas_valor_atipico,volume_total_brl,ferramentas_chamadas,nivel_risco,tipologia_suspeita,red_flags,justificativa,risco_regra,concorda,diferenca_niveis,tipo_divergencia
CLI-014,3,0,3,80629.99,historico_cliente,médio,Movimentação atípica de recursos,Ocorrência de 3 alertas de valor atípico em operações financeiras | Operações com valores significativamente superiores à mediana do cliente,"O cliente CLI-014 apresentou 3 operações atípicas identificadas por valor atípico totalizando R$ 80.629,99 em 11 operações, com valores máximos atingindo R$ 23.640,97, superando substancialmente a mediana de R$ 2.308,41. Não há indícios de fracionamento, mas a concentração de transações atípicas justifica a classificação de risco médio.",médio,True,0,concordância
CLI-023,2,0,2,148535.02,historico_cliente,médio,Movimentação atípica em relação ao perfil e uso de espécie,"Dois alertas de valor atípico detectados | Operação em espécie de valor elevado (R$ 41.768,17) muito acima da mediana do cliente (R$ 3.241,16) | Transferência enviada de valor elevado (R$ 65.417,17) muito acima da mediana do cliente","O cliente CLI-023 apresentou um volume total de R$ 148.535,02 distribuídos em 12 operações, com 2 alertas de valor atípico. Destaca-se a ocorrência de uma operação em espécie de R$ 41.768,17 e uma transferência enviada de R$ 65.417,16, ambas substancialmente superiores à mediana do cliente de R$ 3.241,16, configurando desvio do padrão transacional.",médio,True,0,concordância
CLI-028,2,0,2,88750.8,historico_cliente,médio,Movimentação atípica de valores,Duas operações atípicas registradas no mesmo dia (2026-03-21) | Transações com valores significativamente acima da mediana do cliente,"O cliente CLI-028 apresentou dois alertas de valor atípico totalizando um volume de R$ 88.750,80 em 12 operações. Destacam-se duas operações em 2026-03-21 (uma enviada e uma recebida) que superaram o limite atípico estabelecido. Não há evidências de fracionamento, mas a concentração de valores atípicos justifica o monitoramento.",médio,True,0,concordância
CLI-013,2,0,2,81730.99,historico_cliente,médio,Movimentação atípica de valores,Ocorrência de 2 alertas de valor atípico | Operações de saque e depósito com valores expressivamente acima da mediana do cliente no mesmo dia,"O cliente apresentou duas operações atípicas concentradas em 2026-03-06, sendo um depósito de R$ 26.754,23 e um saque de R$ 28.487,76 via TED, ambos acima do limite considerado atípico. Como um alerta determinístico não prova ilícito e não há evidências adicionais de irregularidade, o risco é classificado como médio.",médio,True,0,concordância
CLI-005,2,0,2,64742.66,historico_cliente,médio,"Movimentação atípica de valores incompatíveis com a mediana do cliente, incluindo transações em espécie.","Dois alertas de valor atípico registrados | Operação em espécie de valor elevado (R$ 11.988,17) acima do limite atípico | Pagamento via cartão no valor de R$ 30.743,97, significativamente superior à mediana de R$ 2.144,18","O cliente CLI-005 apresentou 2 alertas de valor atípico com um volume total de R$ 64.742,66 em 11 operações. Destacam-se uma operação em espécie no valor de R$ 11.988,17 e um pagamento de R$ 30.743,97, ambos acima do limite atípico calculado (R$ 10.720,90) e muito superiores à mediana do cliente (R$ 2.144,18). Estes elementos justificam a classificação de risco médio para averiguação de compatibilidade econômico-financeira.",médio,True,0,concordância
CLI-026,2,0,2,54729.28,historico_cliente,médio,Movimentação atípica de valores,"Ocorrência de dois alertas de valor atípico em operações de pagamento via pix e saque via cartão | Operação máxima de R$ 21.261,01 significativamente superior à mediana do cliente de R$ 2.032,93","O cliente CLI-026 apresentou duas operações com valores atípicos que superaram o limite estipulado, totalizando um volume movimentado de R$ 54.729,28 em 12 operações. Não há evidências de fracionamento, mas a presença de valores atípicos justifica a classificação de risco médio para averiguação de contexto.",médio,True,0,concordância
CLI-001,2,0,2,47947.81,historico_cliente,médio,Movimentação atípica em espécie e canal de TED com valor elevado,Depósito em espécie de alto valor (OP-00008) acima do limite atípico | Saque via TED (OP-00006) com valor atípico e data ausente nos registros,"O cliente CLI-001 apresentou dois alertas de valor atípico totalizando R$ 47.947,81 em 10 operações, destacando-se um depósito em espécie de R$ 25.110,15 e um saque via TED de R$ 9.490,55 com data ausente, evidenciando desvio significativo em relação à mediana das operações.",médio,True,0,concordância
CLI-029,1,1,0,191385.77,historico_cliente|operacoes_do_dia,médio,Fracionamento de operações (Structuring),Ocorrência de 4 operações em um único dia (2026-05-26) totalizando 71297.68 BRL com flag de fracionamento ativada | Uso de múltiplos canais e contrapartes distintas em curto intervalo temporal no dia do alerta,"O cliente apresentou um alerta de fracionamento em 2026-05-26 com quatro operações concentradas no mesmo dia envolvendo depósitos, saques e transferências via TED e PIX, somando 71297.68 BRL. O histórico do cliente mostra 16 operações no total e volume de 191385.77 BRL, evidenciando concentração de movimentação suspeita na data apontada.",médio,True,0,concordância
CLI-017,1,1,0,121391.37,historico_cliente|operacoes_do_dia,médio,Fracionamento de operações,"Ocorrência de 4 operações em um único dia (2026-03-08) totalizando R$ 64.673,88 | Presença de alerta determinístico de fracionamento na data de 2026-03-08","O cliente CLI-017 apresentou um alerta determinístico de fracionamento em 2026-03-08, concentrando 4 operações que somam R$ 64.673,88 em um único dia. Embora o alerta determinístico não prove ilícito por si só, a concentração de transações em uma única data sugere comportamento atípico que requer monitoramento.",médio,True,0,concordância
CLI-030,1,0,1,117780.89,historico_cliente,baixo,Transação Atípica Isolada,"Operação de valor atípico recebida via TED no valor de 77628.19 BRL, superando o limite atípico calculado",O cliente CLI-030 apresentou um único alerta de valor atípico em um volume total de 117780.89 BRL distribuído em 9 operações. Não há registros de fracionamento ou outras tipologias complexas. Um alerta determinístico não prova ilícito.,médio,False,-1,agente_menos_conservador
